% Tunnel Log: 
% Recall Log Version 2.0 debug seed: 1479236132
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Recess, 1=Color/Sound, 2=Shape/Sound, 3=Sound, 4=AllFeatures }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5/6=special }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 1 2 1 0 0 0 1 5 0 0 3 29.7867 0 5 -1 -1 -1 -1 -1 -1 -1 31733 0 0 10 40 32 60 4 3 3
0 0 0 0 1 2 1 0 0 0 1 5 0 0 7 29.4311 0 5 -1 -1 -1 -1 -1 -1 -1 31899 0 0 10 40 32 56.1422 4 3 3
0 0 0 0 1 2 1 0 0 0 1 5 0 0 8 28.9333 0 5 -1 -1 -1 -1 -1 -1 -1 32133 0 0 10 40 32 32 4 3 3
0 0 0 0 1 2 1 0 0 0 1 5 0 0 8 28.2222 0 5 -1 -1 -1 -1 -1 -1 -1 32466 0 0 10 40 32 32 4 3 3
0 0 0 0 1 2 1 0 0 0 1 5 0 0 6 27.5822 0 5 -1 -1 -1 -1 -1 -1 -1 32766 0 0 10 40 32 32 2 1 3
0 0 0 0 1 2 1 0 0 0 1 5 0 0 4 26.9422 0 5 -1 -1 -1 -1 -1 -1 -1 33066 0 0 10 40 32 32 2 1 3
0 0 0 0 1 2 1 0 0 0 1 5 0 0 5 26.2311 0 5 -1 -1 -1 -1 -1 -1 -1 33399 0 0 10 40 32 32 2 1 3
0 0 0 0 1 2 1 0 0 0 1 5 0 0 4 25.5911 0 5 -1 -1 -1 -1 -1 -1 -1 33699 0 0 10 40 32 32 2 1 3
0 0 0 0 1 2 1 0 0 0 1 5 13 -3 128 24.88 0 5 -1 -1 -1 -1 -1 -1 -1 34033 0 0 10 40 32 32 4 1 3
0 0 0 0 1 1 2 0 0 0 1 5 45 -7 211 24.24 0 6 -1 -1 -1 -1 -1 -1 -1 34333 0 0 10 40 32 32 4 1 3
0 0 0 0 1 1 4 0 0 0 1 5 45 -3 105 23.5999 0 6 6 0 5 1 0 1 0 34633 0 0 10 40 32 32 4 1 3
