% Tunnel Log: 
% Recall Log Version 2.0 debug seed: 1456349830
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Recess, 1=Color/Sound, 2=Shape/Sound, 3=Sound, 4=AllFeatures }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5/6=special }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 1 2 1 0 0 0 2 3 11 3 117 29.7333 0 5 -1 -1 -1 -1 -1 -1 -1 115098 0 0 10 40 40 60 5 2 3
0 0 0 0 1 1 2 0 0 0 2 3 26 2 72 29.2889 0 6 -1 -1 -1 -1 -1 -1 -1 115265 0 0 10 40 40 51.5556 5 2 3
0 0 0 0 1 1 2 0 0 0 2 3 37 0 29 28.6667 0 6 -1 -1 -1 -1 -1 -1 -1 115498 0 0 10 40 40 40 5 2 3
0 0 0 0 1 1 2 0 0 0 2 3 38 0 0 27.9556 0 6 -1 -1 -1 -1 -1 -1 -1 115765 0 0 10 40 40 40 5 2 3
0 0 0 0 1 1 2 0 0 0 2 3 38 0 0 27.3334 0 6 -1 -1 -1 -1 -1 -1 -1 115998 0 0 10 40 40 40 2 2 3
0 0 0 0 1 1 2 0 0 0 2 3 38 0 0 26.6222 0 6 -1 -1 -1 -1 -1 -1 -1 116265 0 0 10 40 40 40 2 2 3
0 0 0 0 1 1 2 0 0 0 2 3 38 0 0 26 0 6 -1 -1 -1 -1 -1 -1 -1 116498 0 0 10 40 40 40 2 2 3
0 0 0 0 1 1 2 0 0 0 2 3 38 0 0 25.2889 0 6 -1 -1 -1 -1 -1 -1 -1 116765 0 0 10 40 40 40 2 2 3
0 0 0 0 1 1 2 0 0 0 2 3 38 0 0 24.6667 0 6 -1 -1 -1 -1 -1 -1 -1 116998 0 0 10 40 40 40 2 2 3
0 0 0 0 1 1 2 0 0 0 2 3 38 0 0 23.9556 0 6 -1 -1 -1 -1 -1 -1 -1 117265 0 0 10 40 40 40 2 2 3
0 0 0 0 4 2 1 0 0 0 2 3 14 -4 155 23.3334 0 5 4 7 0 0 0 0 0 117498 0 0 10 40 40 40 2 2 3
