% Tunnel Log: 
% Recall Log Version 2.0 debug seed: 1456774318
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Recess, 1=Color/Sound, 2=Shape/Sound, 3=Sound, 4=AllFeatures }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5/6=special }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 1 2 1 0 0 0 1 3 358 0 16 29.8733 0 5 -1 -1 -1 -1 -1 -1 -1 29499 0 0 10 40 19 60 4 2 3
0 0 0 0 1 2 1 0 0 0 1 3 355 0 19 29.6622 0 5 -1 -1 -1 -1 -1 -1 -1 29666 0 0 10 40 19 60 4 2 3
0 0 0 0 1 2 1 0 0 0 1 3 352 0 17 29.4511 0 5 -1 -1 -1 -1 -1 -1 -1 29833 0 0 10 40 19 55.9911 4 2 3
0 0 0 0 1 2 1 0 0 0 1 3 349 0 0 29.1555 0 5 -1 -1 -1 -1 -1 -1 -1 30066 0 0 10 40 19 31.7556 4 2 3
0 0 0 0 1 2 1 0 0 0 1 3 353 0 7 28.5222 0 5 -1 -1 -1 -1 -1 -1 -1 30566 0 0 10 40 19 19 0 3 3
0 0 0 0 1 2 1 0 0 0 1 3 354 0 6 27.8889 0 5 -1 -1 -1 -1 -1 -1 -1 31066 0 0 10 40 19 19 0 3 3
0 0 0 0 1 2 1 0 0 0 1 3 356 0 3 27.2133 0 5 -1 -1 -1 -1 -1 -1 -1 31599 0 0 10 40 19 19 0 3 3
0 0 0 0 1 2 1 0 0 0 1 3 357 0 1 26.5377 0 5 -1 -1 -1 -1 -1 -1 -1 32133 0 0 10 40 19 19 0 3 3
0 0 0 0 1 2 1 0 0 0 1 3 26 -2 87 25.8621 0 5 -1 -1 -1 -1 -1 -1 -1 32666 0 0 10 40 19 19 1 1 3
0 0 0 0 1 1 2 0 0 0 1 3 45 -5 161 25.1866 0 6 -1 -1 -1 -1 -1 -1 -1 33199 0 0 10 40 19 19 1 1 3
0 0 0 0 1 1 4 0 0 0 1 3 45 -1 52 24.5532 0 6 6 1 5 0 0 1 0 33699 0 0 10 40 19 19 1 1 3
0 0 0 0 1 1 2 0 0 0 1 3 45 -3 108 27.8777 0 6 -1 -1 -1 -1 -1 -1 -1 34233 0 0 10 40 19 19 1 1 3
0 0 0 0 1 1 2 0 0 0 1 3 45 -1 50 27.2021 0 6 -1 -1 -1 -1 -1 -1 -1 34766 0 0 10 40 19 19 2 3 3
0 0 0 0 1 1 2 0 0 0 1 3 45 -1 53 26.5265 0 6 -1 -1 -1 -1 -1 -1 -1 35299 0 0 10 40 19 19 2 3 3
0 0 0 0 1 2 1 0 1 0 1 3 354 1 55 29.8733 0 5 -1 -1 -1 -1 -1 -1 -1 53432 0 0 10 40 19 60 3 3 3
