% Tunnel Log: 
% Recall Log Version 2.0 debug seed: 1455152157
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Recess, 1=Color/Sound, 2=Shape/Sound, 3=Sound, 4=AllFeatures }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5/6=special }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
1 1 1 1 1 2 1 1 0 0 4 2 351 2 82 29.9 0 5 -1 -1 -1 -1 -1 -1 -1 22233 0 0 10 40 15 60 0 2 8
1 1 1 1 1 2 1 1 0 0 4 2 332 2 53 29.7333 0 5 -1 -1 -1 -1 -1 -1 -1 22400 0 0 10 40 15 60 0 2 8
1 1 1 1 2 1 1 1 0 0 4 2 331 1 59 29.5667 0 4 -1 -1 -1 -1 -1 -1 -1 22566 0 0 10 40 15 60 0 2 8
1 1 1 1 2 1 1 1 0 0 4 2 331 0 13 29.4 0 4 -1 -1 -1 -1 -1 -1 -1 22733 0 0 10 40 15 51 0 2 8
1 1 1 1 1 2 1 1 0 0 4 2 342 -1 33 29.1333 0 5 -1 -1 -1 -1 -1 -1 -1 22999 0 0 10 40 15 27 0 3 8
1 1 1 1 1 2 1 1 0 0 4 2 342 -1 53 28.5 0 5 -1 -1 -1 -1 -1 -1 -1 23633 0 0 10 40 15 15 0 3 8
1 1 1 1 1 2 1 1 0 0 4 2 2 0 24 27.8334 0 5 -1 -1 -1 -1 -1 -1 -1 24299 0 0 10 40 15 15 0 3 8
1 1 1 1 1 2 1 1 0 0 4 2 338 2 74 27.1667 0 5 -1 -1 -1 -1 -1 -1 -1 24966 0 0 10 40 15 15 0 3 8
1 1 1 1 2 1 1 1 0 0 4 2 291 2 70 26.5001 0 4 -1 -1 -1 -1 -1 -1 -1 25633 0 0 10 40 15 15 0 1 8
1 1 1 2 1 1 1 1 0 0 4 2 269 0 21 25.8334 0 3 -1 -1 -1 -1 -1 -1 -1 26299 0 0 10 40 15 15 0 1 8
1 1 1 4 1 1 1 1 0 0 4 2 267 0 10 25.1667 0 3 3 1 0 0 0 1 0 26966 0 0 10 40 15 15 0 1 8
