% Tunnel Log: 
% Recall Log Version 2.0 debug seed: 1462816267
%
% SegEncNW { '0'=no panel, '1'=empty panel, '2'=player, '3'=match, '4'=nonmatch, '5'=obstacle, '6'=time warp }
% SegEncN
% SegEncNE
% SegEncE
% SegEncSE
% SegEncS
% SegEncSW
% SegEncW
% Event Number { 0, inf }
% Level Number { 0, inf }
% Task Type { 0=Recess, 1=Color/Sound, 2=Shape/Sound, 3=Sound, 4=AllFeatures }
% N-Back { 0, inf }
% Player Roll Base { 0, 359 }
% Player Roll Offset { 0, 359 }
% Player Roll Speed { -inf, inf }
% Player Fuel Timer { -inf, inf }
% Player Fuel Buffer { -inf, inf }
% Player Loc { 0=Northwest ... 7=West }
% Pod Loc { -1=N/A, 0=Northwest ... 7=West }
% Pod Color { -1=N/A, 0-3, 4=holdout, 5/6=special }
% Pod Shape { -1=N/A, 0-3, 4=holdout }
% Pod Sound { -1=N/A, 0-3, 4=holdout }
% Pod Match { -1=N/A, 0=No, 1=Yes }
% Pod Taken { -1=N/A, 0=No, 1=Yes }
% Pod Zapped { -1=N/A, 0=No, 1=Yes }
% Timestamp (ms)
% Num Obstacles { 0, inf }
% Level Ended { 0, 1 }
% Min Speed { 0, inf }
% Max Speed { 0, inf }
% Base Speed { 0, inf }
% Final Speed { 0, inf }
% Segment Direction { 0=Northwest ... 7=West }
% Segment Angle { 0, inf }
% Segment Panels { 0, inf }
%
% SegEncNW SecEncN SegEncNE SegEncE SegEncSE SegEncS SegEncSW SegEncW EventNumber LevelNumber TaskType N-Back PlayerRollBase PlayerRollOffset PlayerRollSpeed PlayerFuelTimer PlayerFuelBuffer PlayerLoc PodLoc PodColor PodShape PodSound PodMatch PodTaken PodZapped Timestamp NumObs LevelEnded MinSpeed MaxSpeed BaseSpeed FinalSpeed SegmentDir SegmentAngle SegmentPanels
0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 29.9 0 5 -1 -1 -1 -1 -1 -1 -1 723178 0 0 10 40 15 60 1 2 3
0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 29.7333 0 5 -1 -1 -1 -1 -1 -1 -1 723345 0 0 10 40 15 60 1 2 3
0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 29.5667 0 5 -1 -1 -1 -1 -1 -1 -1 723511 0 0 10 40 15 60 1 2 3
0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 29.4 0 5 -1 -1 -1 -1 -1 -1 -1 723678 0 0 10 40 15 51 1 2 3
0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 29.1333 0 5 -1 -1 -1 -1 -1 -1 -1 723944 0 0 10 40 15 27 6 3 3
0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 28.5 0 5 -1 -1 -1 -1 -1 -1 -1 724578 0 0 10 40 15 15 6 3 3
0 0 0 0 1 2 1 0 0 0 0 0 3 0 0 27.8334 0 5 -1 -1 -1 -1 -1 -1 -1 725244 0 0 10 40 15 15 6 3 3
0 0 0 0 1 2 1 0 0 0 0 0 -2 0 0 27.1667 0 5 -1 -1 -1 -1 -1 -1 -1 725911 0 0 10 40 15 15 6 3 3
0 0 0 0 1 2 1 0 0 0 0 0 -2 0 0 26.5001 0 5 -1 -1 -1 -1 -1 -1 -1 726577 0 0 10 40 15 15 3 0 3
0 0 0 0 1 2 1 0 0 0 0 0 -2 0 0 25.8334 0 5 -1 -1 -1 -1 -1 -1 -1 727244 0 0 10 40 15 15 3 0 3
0 0 0 0 1 3 1 0 0 0 0 0 -2 0 0 25.1667 0 5 5 6 5 5 1 1 0 727910 0 0 10 40 15 15 3 0 3
0 0 0 0 1 2 1 0 0 0 0 0 -2 0 0 27.1826 0 5 -1 -1 -1 -1 -1 -1 -1 728543 0 0 10 40 15.5 15.5 3 0 3
0 0 0 0 1 2 1 0 0 0 0 0 -2 0 0 26.4937 0 5 -1 -1 -1 -1 -1 -1 -1 729210 0 0 10 40 15.5 15.5 5 2 3
0 0 0 0 1 2 1 0 0 0 0 0 -2 0 0 25.8393 0 5 -1 -1 -1 -1 -1 -1 -1 729843 0 0 10 40 15.5 15.5 5 2 3
0 0 0 0 1 3 1 0 0 0 0 0 -2 0 0 25.1848 0 5 5 6 5 5 1 1 0 730476 0 0 10 40 15.5 15.5 5 2 3
0 0 0 0 1 2 1 0 0 0 0 0 1 0 0 27.1796 0 5 -1 -1 -1 -1 -1 -1 -1 731109 0 0 10 40 16 16 5 2 3
0 0 0 0 1 2 1 0 0 0 0 0 -10 0 0 26.5041 0 5 -1 -1 -1 -1 -1 -1 -1 731742 0 0 10 40 16 16 8 0 3
0 0 0 0 1 2 1 0 0 0 0 0 -22 0 0 25.8285 0 5 -1 -1 -1 -1 -1 -1 -1 732376 0 0 10 40 16 16 1 2 3
